k,inertia,silhouette,davies_bouldin,calinski_harabasz,algorithm,eps,min_samples,n_clusters,n_noise,n,bic,aic
3.0,2232338.40491548,0.9929972260798073,0.34401680575447796,44670.44647643924,kmeans,,,,,,,
4.0,995721.4263719749,0.9929841786201177,0.21872193029155754,69074.20962025569,kmeans,,,,,,,
5.0,480882.3435085987,0.9806486714766166,0.2516817638794717,108750.55051821044,kmeans,,,,,,,
6.0,275802.9561844202,0.9709848873369229,0.20816696976403523,152497.87387340347,kmeans,,,,,,,
7.0,209253.67457231702,0.9379920358084242,0.24547956658676143,167764.61392013542,kmeans,,,,,,,
8.0,156917.60444073757,0.7132290184200776,0.3199338698774172,192003.95241628564,kmeans,,,,,,,
9.0,128173.51202875651,0.7133507533772925,0.28159919013435475,205803.29653768273,kmeans,,,,,,,
10.0,105478.67510060115,0.7192211466616518,0.2975348205224625,222375.04297555092,kmeans,,,,,,,
,,-0.234990148749918,0.8043990269102285,,dbscan,0.3,3.0,92.0,2580.0,,,
,,-0.18449658670569585,0.9342052044053424,,dbscan,0.3,5.0,36.0,3065.0,,,
,,0.015672889056883136,0.9574002319961842,,dbscan,0.3,10.0,10.0,3738.0,,,
,,0.2594176100295731,0.9068050258774722,,dbscan,0.3,15.0,5.0,4127.0,,,
,,0.005275815613301117,0.7860853132229434,,dbscan,0.5,3.0,72.0,1371.0,,,
,,0.05307812738907111,1.0585388562676619,,dbscan,0.5,5.0,19.0,1697.0,,,
,,0.09841494443416558,1.3049905096997423,,dbscan,0.5,10.0,8.0,2053.0,,,
,,0.07925505761196613,1.4508835423621282,,dbscan,0.5,15.0,7.0,2270.0,,,
,,0.1234245318945434,0.9094927234573543,,dbscan,0.7,3.0,63.0,882.0,,,
,,0.1348103083089283,1.1473725162170079,,dbscan,0.7,5.0,27.0,1112.0,,,
,,0.15709449316007976,1.4061855435374957,,dbscan,0.7,10.0,12.0,1451.0,,,
,,0.15326675505877738,1.456921269482592,,dbscan,0.7,15.0,9.0,1589.0,,,
,,0.06347936471471399,1.0733362486384252,,dbscan,1.0,3.0,49.0,462.0,,,
,,0.06466443304876691,1.3998394114755661,,dbscan,1.0,5.0,23.0,658.0,,,
,,0.1705248763361647,1.9199849299779121,,dbscan,1.0,10.0,8.0,927.0,,,
,,0.13948414098146641,2.1931977710981263,,dbscan,1.0,15.0,9.0,1047.0,,,
,,0.21768212501102036,0.5961174765257827,,dbscan,1.5,3.0,14.0,161.0,,,
,,0.4541631363014071,0.5543771889428011,,dbscan,1.5,5.0,4.0,216.0,,,
,,0.3410344377098158,0.5474530711996616,,dbscan,1.5,10.0,4.0,316.0,,,
,,-1.0,999.0,,dbscan,1.5,15.0,1.0,417.0,,,
,,0.29439590659108444,0.5845955317036731,,dbscan,2.0,3.0,9.0,81.0,,,
,,0.5555981567754836,0.5712413444701474,,dbscan,2.0,5.0,5.0,106.0,,,
,,0.8052567901854721,0.1808828179766308,,dbscan,2.0,10.0,2.0,161.0,,,
,,-1.0,999.0,,dbscan,2.0,15.0,1.0,204.0,,,
,,0.9975707679684943,0.18759813666452888,,gmm,,,,,2.0,134153.4182424189,133881.4936964797
,,0.9929972260798073,0.34401680575447796,,gmm,,,,,3.0,121495.73561632851,121084.53264442048
,,0.9929841786201177,0.21872193029155754,,gmm,,,,,4.0,121604.76370468286,121054.28230680597
,,0.6746034526203619,0.6873931469567169,,gmm,,,,,5.0,95280.76893103974,94591.009107194
,,0.4792142331970696,0.7484058270898668,,gmm,,,,,6.0,74261.35620376206,73432.31795394747
,,0.1482221428979429,0.8696240437752932,,gmm,,,,,7.0,60355.85157951097,59387.53490372753
,,0.48562052338194395,0.6563542790994972,,gmm,,,,,8.0,73936.97803045553,72829.38292870324
,,0.14993827294364323,0.6863959091761064,,gmm,,,,,9.0,60381.6140873256,59134.740559604455
,,0.1536935656908673,0.6285237134344791,,gmm,,,,,10.0,60331.95582446276,58945.80387077276
,,0.9975707679684943,0.18759813666452888,29214.294052639987,hierarchical,,,,,2.0,,
,,0.9940830078314095,0.2780980735659176,39852.983272499,hierarchical,,,,,3.0,,
,,0.9940942636766228,0.09965764474935457,54740.929376432694,hierarchical,,,,,4.0,,
,,0.9768070571389545,0.2785997355321014,100387.95407638862,hierarchical,,,,,5.0,,
,,0.9709848873369229,0.20816696976403523,152497.87387340347,hierarchical,,,,,6.0,,
,,0.7218331952313476,0.29311977370459275,156521.76822606236,hierarchical,,,,,7.0,,
,,0.7385712457693082,0.3418812118916257,170688.073970522,hierarchical,,,,,8.0,,
,,0.7389877098915618,0.3307772691570659,190833.9389464984,hierarchical,,,,,9.0,,
,,0.7388691025053862,0.29193115465644637,214305.88705380386,hierarchical,,,,,10.0,,
