pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_met,st_rad,sy_pnum,pl_dens_calc,mass_radius_ratio,hz_flag,log_rade,log_dens,log_period,log_smax,log_eqt,cluster,umap_x,umap_y,pl_bmasse_imputed,pl_rade_imputed,pl_eqt_imputed,pl_insol_imputed,cluster_name,method_group
11 Com b,11 Com,Radial Velocity,2007.0,12.2,4914.89848585,323.21,1.178,10774.0,69.0841210149506,4874.0,-0.26,13.76,1,14.913743142065583,402.86053162704917,0,1.0863598306747482,1.1735866590078063,2.50948478922394,0.07114529045108281,4.032376971209936,2.0,-1.7606359,-3.3070717,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
11 UMi b,11 UMi,Radial Velocity,2009.0,12.3,4684.8142,516.21997,1.53,12024.0,107.15534311797425,4213.0,-0.02,29.79,1,13.871666401736391,380.8792032520325,0,1.089905111439398,1.142128635954861,2.7128348012404855,0.1846914308175988,4.080048967578851,2.0,-1.5496538,-2.9748724,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
14 And b,14 And,Radial Velocity,2008.0,13.1,1131.15130051,186.76,0.775,12205.0,113.75623306369856,4888.0,-0.21,11.55,1,2.772416092502528,86.34742751984733,0,1.1172712956557642,0.44285841104677903,2.271283865258768,-0.1106982974936897,4.086537783753207,2.0,-2.1428263,-2.9893625,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
14 Her b,14 Her,Radial Velocity,2002.0,12.5,2828.6728223,1766.41,2.839,1976.0,0.07816984302320615,5338.0,0.43,0.93,2,7.980025472446975,226.293825784,0,1.0969100130080565,0.9020042776321211,3.2470915146839134,0.4531653925258572,3.295786940251609,2.0,-0.96761984,-0.5625498,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,13.5,565.7374,798.5,1.66,3068.0,0.454466566908526,5750.0,0.06,1.13,1,1.2669666510186455,41.906474074074076,0,1.130333768495006,0.10276518357389795,2.9022749204745018,0.22010808804005508,3.4868553552769432,2.0,-2.2972126,-2.1331272,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
17 Sco b,17 Sco,Radial Velocity,2020.0,12.9,1373.01871824,578.38,1.45,11368.0,85.61383235361322,4157.0,-0.01,25.92,1,3.5241868465820616,106.43555955348837,0,1.110589710299249,0.5470589259285428,2.762213266928569,0.16136800223497488,4.055684064919413,2.0,-1.920277,-2.7795656,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
18 Del b,18 Del,Radial Velocity,2008.0,12.5,2926.24614325,982.85,2.476,6072.0,6.970618019110977,4980.0,-0.06,8.8,1,8.25529151964544,234.09969146,0,1.0969100130080565,0.9167324141388418,2.9924872419998882,0.3937506403480804,3.783331762887424,2.0,-1.3701098,-2.6420774,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,18.647,3000.0,NA,330.0,1700.0,3.860125237096399e-06,4060.0,0.0,1.31316,1,2.5494467251239663,160.88378827693464,0,1.270608970823178,0.40644594110191307,NA,2.5185139398778875,3.230448921378274,NA,NA,NA,0,0,0,1,NA,Imaging
24 Boo b,24 Boo,Radial Velocity,2018.0,13.9,280.64248338,30.33,0.194,24691.0,1905.6349720309222,4816.0,-0.78,12.19,1,0.5757853528083469,20.19010671798561,0,1.1430148002540952,-0.23973938717488658,1.4818724103106635,-0.712198270069774,4.392538679469689,2.0,-2.2982736,-3.0217528,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
24 Sex b,24 Sex,Radial Velocity,2010.0,13.4,632.46,452.8,1.333,6322.0,8.188814547385062,5098.0,-0.03,4.9,2,1.4483391407852693,47.19850746268657,0,1.1271047983648077,0.1608702674730365,2.6559064181802152,0.12483014941385918,3.8008544915035607,2.0,-2.0959969,-0.62724596,0,0,1,1,Cold/Warm Jupiters,Radial Velocity
